Player,BattingOrder,Position,Team,Opponent,Game.ID,X1B.Ump,X2B.Ump,X3B.Ump,HP.Ump,H.A,Precipitation,Sky,Stadium,Temperature,Wind.Direction,Wind.Speed,PitchHand,HomeRun
Mookie Betts,1,RF,BOS,TBR,BOS201808190,Jim Reynolds,Chad Whitson,Mark Wegner,John Tumpane,H,No Precipitation,Cloudy,Fenway Park,71,in from Centerfield,16,(R),0
Billy McKinney,2,LF,TOR,BAL,BAL201808270,Mark Ripperger,Doug Eddings,Joe West,Marty Foster,A,No Precipitation,Cloudy,Oriole Park at Camden Yards,88,from Right to Left,4,(R),0
Greg Garcia,NA,PH,SDP,CHC,CHN201907200,Chad Whitson,Larry Vanover,Dan Bellino,David Rackley,A,No Precipitation,Cloudy,Wrigley Field,94,out to Rightfield,15,(L),0
Jordy Mercer,7,SS,PIT,WSN,PIT201807100,Jerry Meals,Chris Segal,Gabe Morales,Ed Hickox,H,No Precipitation,Cloudy,PNC Park,81,out to Leftfield,9,(R),0
Ryan Braun,NA,PH,MIL,CHC,CHN201908310,Tim Timmons,Roberto Ortiz,Mike Muchlinski,Rob Drake,A,No Precipitation,Cloudy,Wrigley Field,71,in from Rightfield,7,(R),0
A.J. Pollock,6,CF,LAD,BOS,BOS201907120,Brennan Miller,Pat Hoberg,Gerry Davis,Phil Cuzzi,A,No Precipitation,Cloudy,Fenway Park,76,from Right to Left,5,(R),0
Mychal Givens,NA,P,BAL,COL,COL201905260,Adrian Johnson,Quinn Wolcott,Gary Cederstrom,Marvin Hudson,A,No Precipitation,Cloudy,Coors Field,68,out to Centerfield,10,(R),0
Ryan Carpenter,NA,P,DET,MIN,MIN201808180,John Libka,Manny Gonzalez,Laz Diaz,Jeff Nelson,A,No Precipitation,Cloudy,Target Field,84,from Right to Left,6,(L),0
Joey Gallo,NA,PH,TEX,LAD,TEX201808290,Ted Barrett,Will Little,Lance Barksdale,Sean Barber,H,No Precipitation,Night,Globe Life Park in Arlington,95,from Right to Left,9,(L),0
Jose Fernandez,NA,P,TOR,BOS,BOS201809130,Alfonso Marquez,Jim Wolf,DJ Reyburn,Chris Segal,A,No Precipitation,Cloudy,Fenway Park,68,in from Rightfield,6,(R),0
Adam Conley,NA,P,MIA,WSN,WAS201808180,Will Little,Kerwin Danley,Ben May,Ted Barrett,A,No Precipitation,Cloudy,Nationals Park,85,out to Rightfield,8,(L),0
Brandon Belt,3,LF,SFG,CIN,SFN201805160,Marty Foster,Mark Ripperger,Joe West,Doug Eddings,H,No Precipitation,Cloudy,AT&T Park,63,out to Centerfield,13,(L),1
Roberto Osuna,NA,P,TOR,CLE,CLE201804130,Mark Carlson,Brian Knight,Jeremie Rehak,Gerry Davis,A,No Precipitation,Cloudy,Progressive Field,46,from Left to Right,11,(R),0
Yoan Moncada,1,2B,CHW,CLE,CLE201809200,Marty Foster,Mike Muchlinski,Mike Winters,Ryan Blakney,A,No Precipitation,Cloudy,Progressive Field,82,in from Rightfield,12,(R),0
Erik Gonzalez,NA,2B,CLE,KCR,KCA201808260,Eric Cooper,Ramon De Jesus,Stu Scheurwater,Gary Cederstrom,A,No Precipitation,Cloudy,Kauffman Stadium,91,from Right to Left,15,(R),0
Robbie Erlin,NA,P,SDP,PIT,SDN201905190,Paul Nauert,CB Bucknor,DJ Reyburn,Fieldin Culbreth,H,Rain,Overcast,Petco Park,59,from Left to Right,7,(R),0
Bartolo Colon,NA,P,TEX,TOR,TEX201804080,Mike DiMuro,John Tumpane,Mark Wegner,Jim Reynolds,H,No Precipitation,Overcast,Globe Life Park in Arlington,50,in from Centerfield,8,(L),0
Jorge De La Rosa,NA,P,ARI,SFG,SFN201804100,Scott Barry,Carlos Torres,Kerwin Danley,Paul Nauert,A,No Precipitation,Overcast,AT&T Park,55,out to Centerfield,13,(L),0
Mark Canha,4,CF,OAK,KCR,KCA201908290,Lance Barrett,Mike Everitt,Chris Segal,Bill Welke,A,No Precipitation,Sunny,Kauffman Stadium,87,from Left to Right,13,(R),0
Kyle Schwarber,1,LF,CHC,PIT,CHN201907120,Nic Lentz,John Tumpane,Kerwin Danley,Ted Barrett,H,No Precipitation,Sunny,Wrigley Field,77,from Right to Left,10,(R),0
Jacob Barnes,NA,P,MIL,STL,SLN201904220,Alan Porter,Mark Wegner,Ramon De Jesus,Jim Reynolds,A,No Precipitation,Night,Busch Stadium III,80,in from Rightfield,15,(R),0
David Peralta,2,LF,ARI,SFG,SFN201806040,Tony Randazzo,Bill Welke,Brian Knight,Lance Barrett,A,No Precipitation,Cloudy,AT&T Park,60,out to Centerfield,19,(R),0
Cesar Hernandez,1,2B,PHI,MIL,MIL201806160,Laz Diaz,Manny Gonzalez,Andy Fletcher,Jeff Nelson,A,No Precipitation,Sunny,Miller Park,79,in from Centerfield,7,(R),0
Sam Coonrod,NA,P,SFG,ARI,SFN201908270,Todd Tichenor,Ben May,Adam Hamari,Tom Hallion,H,No Precipitation,Cloudy,Oracle Park,66,out to Centerfield,17,(R),0
Francisco Lindor,1,SS,CLE,MIN,CLE201909150,John Tumpane,Mark Wegner,Stu Scheurwater,Alan Porter,H,No Precipitation,Cloudy,Progressive Field,76,out to Rightfield,6,(R),0
Jeff McNeil,2,2B,NYM,CIN,NYN201808080,Will Little,Kerwin Danley,Ben May,Lance Barksdale,H,No Precipitation,Sunny,Citi Field,88,out to Leftfield,6,(R),0
Raisel Iglesias,NA,P,CIN,ATL,CIN201804230,Brian O'Nora,No Umpire,Fieldin Culbreth,Chris Conroy,H,No Precipitation,Overcast,Great American Ball Park,56,in from Leftfield,10,(R),0
Logan Forsythe,8,1B,TEX,OAK,OAK201904230,Eric Cooper,Andy Fletcher,Will Little,Joe West,A,No Precipitation,Cloudy,Oakland-Alameda County Coliseum,80,from Left to Right,10,(R),0
J.D. Martinez,4,DH,BOS,TOR,BOS201805280,Vic Carapazza,Jerry Layne,Jansen Visconti,Jordan Baker,H,No Precipitation,Cloudy,Fenway Park,53,in from Centerfield,7,(L),1
Tommy Pham,1,CF,STL,CHW,SLN201805010,Sam Holbrook,Ryan Blakney,Jim Wolf,DJ Reyburn,H,No Precipitation,Cloudy,Busch Stadium III,81,from Right to Left,16,(R),1
Yoan Moncada,1,2B,CHW,CLE,CLE201805290,Tim Timmons,Rob Drake,Mike Winters,Mike Muchlinski,A,No Precipitation,Cloudy,Progressive Field,81,in from Rightfield,10,(R),0
David Bote,8,3B,CHC,TEX,TEX201903300,James Hoye,Mark Ripperger,Jeff Kellogg,Brian O'Nora,A,No Precipitation,Cloudy,Globe Life Park in Arlington,51,from Left to Right,19,(R),0
Peter Moylan,NA,P,ATL,NYM,ATL201804190,Dan Iassogna,Jeremie Rehak,Gerry Davis,Pat Hoberg,H,No Precipitation,Night,SunTrust Park,56,in from Rightfield,13,(R),0
Carlos Gonzalez,4,RF,COL,STL,COL201808240,Cory Blaser,Lance Barrett,Tony Randazzo,Brian O'Nora,H,No Precipitation,Cloudy,Coors Field,86,out to Leftfield,4,(R),0
Josh Bell,6,1B,PIT,WSN,PIT201807100,Jerry Meals,Chris Segal,Gabe Morales,Ed Hickox,H,No Precipitation,Cloudy,PNC Park,81,out to Leftfield,9,(R),0
Victor Martinez,5,DH,DET,PIT,DET201804011,John Libka,Bill Welke,Tony Randazzo,Lance Barrett,H,No Precipitation,Sunny,Comerica Park,36,from Right to Left,7,(R),0
Taylor Williams,NA,P,MIL,CIN,CIN201806280,Bruce Dreckman,Chad Fairchild,Alfonso Marquez,Roberto Ortiz,A,No Precipitation,Cloudy,Great American Ball Park,88,from Right to Left,3,(R),0
Justin Upton,3,LF,LAA,BOS,ANA201804190,Vic Carapazza,No Umpire,Jordan Baker,Greg Gibson,H,No Precipitation,Night,Angel Stadium of Anaheim,62,out to Centerfield,7,(R),0
Pablo Sandoval,NA,PH,SFG,COL,COL201805280,Jeff Kellogg,Marvin Hudson,James Hoye,Quinn Wolcott,A,No Precipitation,Cloudy,Coors Field,57,out to Centerfield,3,(L),0
Kendrys Morales,4,DH,OAK,CLE,OAK201905100,Ted Barrett,Nic Lentz,Kerwin Danley,Lance Barksdale,H,No Precipitation,Cloudy,Oakland-Alameda County Coliseum,61,out to Rightfield,18,(R),0
Mitch Garver,9,C,MIN,BAL,BAL201804010,Mark Ripperger,Joe West,Doug Eddings,Marty Foster,A,No Precipitation,Overcast,Oriole Park at Camden Yards,61,out to Centerfield,9,(R),0
Adam Cimber,NA,P,CLE,DET,DET201908270,Stu Scheurwater,Alan Porter,Jim Reynolds,Sean Barber,A,No Precipitation,Cloudy,Comerica Park,79,from Right to Left,9,(R),0
Miguel Del Pozo,NA,P,LAA,TEX,ANA201908280,Nic Lentz,Chad Fairchild,Bruce Dreckman,Paul Emmel,H,No Precipitation,Night,Angel Stadium of Anaheim,76,out to Centerfield,7,(L),0
Chris Shaw,NA,PH-1B,SFG,BOS,BOS201909190,Joe West,No Umpire,Eric Cooper,Will Little,A,No Precipitation,Sunny,Fenway Park,63,in from Rightfield,9,(L),0
Melky Cabrera,5,RF,CLE,KCR,KCA201809270,Kerwin Danley,Mike Estabrook,Bruce Dreckman,Chad Fairchild,A,No Precipitation,Night,Kauffman Stadium,69,from Right to Left,2,(R),0
Jose Ramirez,3,3B,CLE,OAK,OAK201806300,John Libka,Bill Welke,Lance Barrett,Tony Randazzo,A,No Precipitation,Sunny,Oakland-Alameda County Coliseum,81,out to Rightfield,14,(R),1
Michael Lorenzen,NA,P,CIN,WSN,WAS201808050,Chad Whitson,Manny Gonzalez,Andy Fletcher,Jeff Nelson,A,No Precipitation,Cloudy,Nationals Park,90,from Left to Right,5,(R),0
Rafael Devers,6,3B,BOS,ATL,ATL201809050,Mike Muchlinski,Mike Winters,Jansen Visconti,Tim Timmons,A,No Precipitation,Cloudy,SunTrust Park,81,in from Leftfield,9,(R),0
Kirby Yates,NA,P,SDP,COL,SDN201805150,Ramon De Jesus,David Rackley,Larry Vanover,Hunter Wendelstedt,H,No Precipitation,Sunny,Petco Park,69,out to Rightfield,8,(R),0
Louis Coleman,NA,P,DET,CHW,CHA201806170,Eric Cooper,Gary Cederstrom,Cory Blaser,Stu Scheurwater,A,No Precipitation,Cloudy,Guaranteed Rate Field,92,out to Centerfield,10,(L),0
Freddie Freeman,3,1B,ATL,WSN,WAS201907310,Todd Tichenor,Adam Hamari,Ben May,Phil Cuzzi,A,No Precipitation,Cloudy,Nationals Park,82,from Left to Right,6,(R),0
Tony Wolters,9,C,COL,SFG,SFN201904140,Paul Nauert,CB Bucknor,DJ Reyburn,Fieldin Culbreth,A,No Precipitation,Cloudy,Oracle Park,59,out to Centerfield,15,(R),0
Delino DeShields,1,CF,TEX,BOS,TEX201805050,Dan Bellino,Phil Cuzzi,Adam Hamari,Adrian Johnson,H,No Precipitation,Night,Globe Life Park in Arlington,81,out to Rightfield,8,(L),1
Marcell Ozuna,4,LF,STL,TEX,TEX201905170,Chris Conroy,Jeremie Rehak,Doug Eddings,Bill Miller,A,No Precipitation,Cloudy,Globe Life Park in Arlington,84,in from Rightfield,12,(R),0
Cody Bellinger,4,RF,LAD,NYY,LAN201908250,Jansen Visconti,Ron Kulpa,Gabe Morales,Bill Welke,H,No Precipitation,Sunny,Dodger Stadium,90,out to Centerfield,8,(L),0
Colin Moran,7,3B,PIT,CHC,CHN201804120,Phil Cuzzi,Tom Hallion,Dan Bellino,Ramon De Jesus,A,No Precipitation,Sunny,Wrigley Field,74,out to Rightfield,14,(R),0
Aaron Judge,NA,RF,NYY,TOR,NYA201809140,Roberto Ortiz,Gerry Davis,Pat Hoberg,Brian Knight,H,No Precipitation,Cloudy,Yankee Stadium III,73,in from Centerfield,13,(R),0
Rafael Ortega,8,LF,ATL,TOR,ATL201909020,Hunter Wendelstedt,Vic Carapazza,Dan Iassogna,Jordan Baker,H,No Precipitation,Sunny,SunTrust Park,87,from Left to Right,7,(R),0
Dylan Covey,NA,P,CHW,TEX,TEX201806290,Joe West,Mark Ripperger,Doug Eddings,Marty Foster,A,No Precipitation,Night,Globe Life Park in Arlington,98,from Right to Left,16,(R),0
Reyes Moronta,NA,P,SFG,CHC,SFN201907230,Jordan Baker,Marvin Hudson,Hunter Wendelstedt,Vic Carapazza,H,No Precipitation,Night,Oracle Park,64,out to Centerfield,9,(L),0
Nick Hundley,NA,PH,SFG,OAK,SFN201807140,Ben May,Jordan Baker,Greg Gibson,Vic Carapazza,H,No Precipitation,Cloudy,AT&T Park,62,out to Centerfield,16,(R),0
Ben Gamel,7,LF-RF,MIL,ATL,MIL201907160,Nic Lentz,Vic Carapazza,Jordan Baker,Marvin Hudson,H,No Precipitation,Night,Miller Park,85,in from Centerfield,12,(R),0
Justin Smoak,5,1B,TOR,BOS,TOR201907040,Dan Bellino,David Rackley,Larry Vanover,Chad Whitson,H,No Precipitation,Night,Rogers Centre,77,from Right to Left,7,(R),0
Austin Dean,6,LF,MIA,BOS,BOS201808280,Scott Barry,Carlos Torres,Nic Lentz,Paul Nauert,A,No Precipitation,Cloudy,Fenway Park,92,out to Centerfield,14,(R),0
Carlos Martinez,NA,P,STL,ARI,SLN201907140,Todd Tichenor,Tom Hallion,John Libka,Adam Hamari,H,No Precipitation,Cloudy,Busch Stadium III,89,out to Leftfield,10,(R),0
Harold Castro,1,CF,DET,KCR,DET201908110,Hunter Wendelstedt,Laz Diaz,Vic Carapazza,Jeremie Rehak,H,No Precipitation,Sunny,Comerica Park,79,out to Leftfield,8,(L),0
Juan Lagares,8,CF,NYM,MIA,NYN201909230,Jordan Baker,Jeremie Rehak,Eric Cooper,Joe West,H,No Precipitation,Cloudy,Citi Field,82,out to Centerfield,7,(L),0
Shane Robinson,9,LF,NYY,CHW,NYA201808270,Pat Hoberg,Brian Knight,Chad Whitson,Mark Carlson,H,No Precipitation,Cloudy,Yankee Stadium III,86,from Right to Left,8,(R),0
Scott Kingery,6,SS,PHI,LAD,LAN201805300,Will Little,Ted Barrett,Kerwin Danley,Tom Woodring,A,No Precipitation,Cloudy,Dodger Stadium,66,from Left to Right,4,(R),0
Whit Merrifield,1,CF,KCR,TEX,KCA201905160,Mark Ripperger,Jeff Kellogg,Brian O'Nora,James Hoye,H,No Precipitation,Sunny,Kauffman Stadium,86,from Right to Left,17,(R),0
Robert Gsellman,NA,P,NYM,ATL,NYN201808020,Cory Blaser,Gary Cederstrom,Chris Segal,Stu Scheurwater,H,No Precipitation,Cloudy,Citi Field,86,out to Centerfield,8,(L),0
Kendrys Morales,4,1B,TOR,OAK,OAK201807300,Sam Holbrook,Ryan Blakney,Jim Wolf,DJ Reyburn,A,No Precipitation,Cloudy,Oakland-Alameda County Coliseum,65,out to Rightfield,16,(R),0
Adam Jones,3,RF,BAL,NYM,BAL201808150,Manny Gonzalez,Laz Diaz,Jeff Nelson,John Libka,H,No Precipitation,Cloudy,Oriole Park at Camden Yards,87,out to Rightfield,6,(R),0
Javier Baez,4,SS,CHC,LAD,CHN201904230,Chad Whitson,Lance Barksdale,John Tumpane,Ted Barrett,H,No Precipitation,Cloudy,Wrigley Field,52,from Right to Left,3,(L),1
Shohei Ohtani,NA,PH,LAA,LAD,ANA201807080,Rob Drake,Chad Whitson,Mike Winters,Tim Timmons,H,No Precipitation,Night,Angel Stadium of Anaheim,87,out to Rightfield,8,(L),1
Steven Brault,NA,P,PIT,WSN,WAS201805020,Chad Fairchild,Bruce Dreckman,Mike Estabrook,Eric Cooper,A,No Precipitation,Night,Nationals Park,89,out to Centerfield,7,(R),0
Shohei Ohtani,3,DH,LAA,MIN,MIN201905140,Eric Cooper,Andy Fletcher,Will Little,Joe West,A,No Precipitation,Cloudy,Target Field,72,out to Leftfield,9,(R),0
Yoan Moncada,6,2B,CHW,KCR,KCA201804270,Vic Carapazza,Jordan Baker,Jerry Layne,Sean Barber,A,No Precipitation,Night,Kauffman Stadium,75,from Left to Right,13,(R),0
Scott Kingery,6,SS,PHI,WSN,WAS201806240,Mark Wegner,Chris Guccione,Larry Vanover,David Rackley,A,No Precipitation,Cloudy,Nationals Park,83,in from Leftfield,4,(R),0
Wei-Yin Chen,NA,P,MIA,STL,SLN201906170,Todd Tichenor,Phil Cuzzi,Tom Hallion,Adam Hamari,A,Rain,Overcast,Busch Stadium III,74,in from Leftfield,4,(R),0
Aaron Loup,NA,P,TOR,MIN,MIN201804300,Adrian Johnson,Dan Bellino,Phil Cuzzi,Adam Hamari,A,No Precipitation,Night,Target Field,83,from Right to Left,21,(R),0
Jose Lobaton,NA,PH,NYM,WSN,WAS201809200,Sam Holbrook,Chris Segal,Jim Wolf,DJ Reyburn,A,No Precipitation,Cloudy,Nationals Park,79,out to Leftfield,9,(L),0
Mark Melancon,NA,P,SFG,SDP,SFN201806210,Brian Knight,Pat Hoberg,Nic Lentz,Gerry Davis,H,No Precipitation,Night,AT&T Park,61,out to Centerfield,16,(L),0
Gorkys Hernandez,NA,PH,SFG,ARI,SFN201804090,Paul Nauert,Scott Barry,Carlos Torres,Kerwin Danley,H,No Precipitation,Cloudy,AT&T Park,64,out to Centerfield,8,(L),0
Erik Kratz,8,C,MIL,SFG,MIL201809090,Dan Bellino,Adam Hamari,Phil Cuzzi,Tom Hallion,H,No Precipitation,Cloudy,Miller Park,68,from Left to Right,14,(R),0
Jake Bauers,6,1B,CLE,SEA,SEA201904170,Mike Winters,Tim Timmons,Rob Drake,Mike Muchlinski,A,No Precipitation,Cloudy,T-Mobile Park,62,from Right to Left,1,(R),1
Niko Goodrum,5,SS,DET,STL,DET201809080,Lance Barrett,Bill Welke,Tony Randazzo,Ryan Additon,H,No Precipitation,Cloudy,Comerica Park,65,from Left to Right,14,(L),0
Chris Bassitt,NA,P,OAK,LAA,ANA201906300,Phil Cuzzi,Jansen Visconti,Jeff Nelson,Jordan Baker,A,No Precipitation,Sunny,Angel Stadium of Anaheim,84,out to Centerfield,8,(R),0
Mark Canha,7,RF,OAK,BOS,BOS201805140,Mark Wegner,John Tumpane,Jim Reynolds,Ben May,A,No Precipitation,Night,Fenway Park,65,out to Centerfield,6,(L),0
JT Riddle,7,CF,MIA,ATL,ATL201907050,Ron Kulpa,Marty Foster,Tom Woodring,Gabe Morales,A,No Precipitation,Overcast,SunTrust Park,79,from Right to Left,7,(R),0
Guillermo Heredia,8,LF,SEA,TEX,SEA201805150,Jeff Nelson,Laz Diaz,Manny Gonzalez,Andy Fletcher,H,No Precipitation,Night,Safeco Field,70,out to Centerfield,4,(R),0
Pat Valaika,NA,PH,COL,LAD,LAN201909220,DJ Reyburn,Greg Gibson,CB Bucknor,Nic Lentz,A,No Precipitation,Cloudy,Dodger Stadium,89,out to Centerfield,4,(R),0
Matt Chapman,7,3B,OAK,SFG,SFN201807150,Jordan Baker,Greg Gibson,Vic Carapazza,Ben May,A,No Precipitation,Cloudy,AT&T Park,66,out to Centerfield,12,(L),0
Teoscar Hernandez,8,CF,TOR,DET,DET201907200,Brennan Miller,Pat Hoberg,Gerry Davis,Phil Cuzzi,A,No Precipitation,Cloudy,Comerica Park,93,from Right to Left,14,(R),0
Trey Mancini,1,LF,BAL,BOS,BOS201804130,Stu Scheurwater,Gary Cederstrom,Eric Cooper,Cory Blaser,A,No Precipitation,Cloudy,Fenway Park,53,in from Rightfield,7,(R),0
Wilmer Difo,8,SS,WSN,NYM,WAS201905160,Tony Randazzo,Jeff Nelson,Cory Blaser,Laz Diaz,H,No Precipitation,Cloudy,Nationals Park,74,out to Rightfield,10,(R),0
Ian Kinsler,2,2B,BOS,TOR,BOS201809130,Alfonso Marquez,Jim Wolf,DJ Reyburn,Chris Segal,H,No Precipitation,Cloudy,Fenway Park,68,in from Rightfield,6,(L),0
DJ Stewart,5,RF,BAL,TBR,BAL201908240,Lance Barksdale,John Bacon,Ted Barrett,John Tumpane,H,No Precipitation,Overcast,Oriole Park at Camden Yards,74,in from Centerfield,3,(L),0
Steve Wilkerson,9,3B,BAL,SEA,BAL201806280,Stu Scheurwater,Eric Cooper,Gary Cederstrom,Cory Blaser,H,No Precipitation,Cloudy,Oriole Park at Camden Yards,88,from Left to Right,8,(R),0
Ryne Stanek,NA,P,TBR,NYY,NYA201906180,Tom Woodring,Gabe Morales,Marty Foster,Jerry Meals,A,No Precipitation,Cloudy,Yankee Stadium III,67,in from Leftfield,6,(R),0
Albert Pujols,3,1B,LAA,OAK,OAK201909050,Alex Tosi,Mark Ripperger,Brian O'Nora,James Hoye,A,No Precipitation,Cloudy,Oakland-Alameda County Coliseum,69,out to Rightfield,10,(R),0
Adam Duvall,NA,LF,ATL,MIA,ATL201808150,Scott Barry,Carlos Torres,Paul Nauert,Chad Fairchild,H,No Precipitation,Cloudy,SunTrust Park,86,in from Rightfield,2,(R),0
Jimmy Yacabonis,NA,P,BAL,NYY,BAL201908050,Carlos Torres,Angel Hernandez,Jordan Baker,Ed Hickox,H,No Precipitation,Cloudy,Oriole Park at Camden Yards,84,out to Leftfield,7,(R),0
Hunter Renfroe,5,LF,SDP,SFG,SFN201809250,Ryan Additon,Marvin Hudson,Quinn Wolcott,Nick Mahrley,A,No Precipitation,Night,AT&T Park,56,out to Centerfield,13,(L),0
Josh Bell,4,1B,PIT,SDP,SDN201905170,DJ Reyburn,Fieldin Culbreth,Paul Nauert,CB Bucknor,A,No Precipitation,Night,Petco Park,65,out to Rightfield,10,(R),0
Travis Jankowski,NA,PH,SDP,PHI,SDN201808110,Tim Timmons,Mike Muchlinski,Mike Winters,Jansen Visconti,H,No Precipitation,Night,Petco Park,84,from Left to Right,15,(R),0
Chris Devenski,NA,P,HOU,BAL,BAL201809300,Bill Miller,Angel Hernandez,Alan Porter,Chad Whitson,A,No Precipitation,Sunny,Oriole Park at Camden Yards,77,from Right to Left,1,(R),0
Alex Bregman,6,3B,HOU,NYY,HOU201804300,Mark Wegner,Alfonso Marquez,Jim Reynolds,John Tumpane,H,No Precipitation,Cloudy,Minute Maid Park,75,out to Centerfield,14,(R),0
Elias Diaz,6,C,PIT,SFG,SFN201808120,Chris Conroy,Brian O'Nora,Shane Livensparger,CB Bucknor,A,No Precipitation,Sunny,AT&T Park,67,out to Centerfield,14,(R),0
Danny Jansen,8,C,TOR,BOS,BOS201809120,Chris Segal,Alfonso Marquez,Jim Wolf,DJ Reyburn,A,No Precipitation,Cloudy,Fenway Park,68,in from Centerfield,9,(R),0
Adam Frazier,1,2B,PIT,CIN,PIT201904050,Mark Ripperger,Jeff Kellogg,Brian O'Nora,James Hoye,H,No Precipitation,Cloudy,PNC Park,48,from Left to Right,6,(R),0
Michael Conforto,4,CF,NYM,ATL,NYN201906280,Bill Welke,Lance Barrett,Roberto Ortiz,Mike Everitt,H,No Precipitation,Cloudy,Citi Field,84,out to Leftfield,12,(R),0
Byron Buxton,9,CF,MIN,TOR,MIN201904150,Paul Emmel,Bruce Dreckman,Sean Barber,Mike Estabrook,H,No Precipitation,Cloudy,Target Field,54,in from Centerfield,13,(L),0
Tyler Flowers,7,C,ATL,MIL,ATL201808120,Mark Wegner,John Tumpane,Jim Reynolds,Chad Whitson,H,No Precipitation,Cloudy,SunTrust Park,86,out to Leftfield,5,(L),0
Myles Straw,NA,PH,HOU,STL,SLN201907280,Gerry Davis,Brennan Miller,Pat Hoberg,Greg Gibson,A,No Precipitation,Cloudy,Busch Stadium III,87,out to Leftfield,10,(L),0
Sandy Leon,NA,C,BOS,BAL,BAL201906140,Jansen Visconti,Tripp Gibson,Bruce Dreckman,Mark Carlson,A,No Precipitation,Night,Oriole Park at Camden Yards,75,out to Rightfield,10,(L),0
Rob Zastryzny,NA,P,CHC,CIN,CIN201806220,Greg Gibson,Jerry Layne,Jordan Baker,Jeremie Rehak,A,No Precipitation,Overcast,Great American Ball Park,71,from Right to Left,6,(L),0
Lou Trivino,NA,P,OAK,ARI,OAK201805270,Sam Holbrook,Jim Wolf,Ryan Blakney,Alfonso Marquez,H,No Precipitation,Cloudy,Oakland-Alameda County Coliseum,71,out to Rightfield,4,(R),0
Jonathan Lucroy,NA,C,LAA,OAK,ANA201906290,Jordan Baker,Phil Cuzzi,Jansen Visconti,Jeff Nelson,H,No Precipitation,Cloudy,Angel Stadium of Anaheim,76,out to Centerfield,7,(L),0
Maikel Franco,8,3B,PHI,WSN,WAS201904020,Bruce Dreckman,Chad Fairchild,Mike Estabrook,Paul Emmel,A,Drizzle,Overcast,Nationals Park,45,in from Centerfield,8,(R),1
Gerardo Parra,7,LF,COL,STL,SLN201807300,Joe West,Nic Lentz,Mark Ripperger,Marty Foster,A,No Precipitation,Cloudy,Busch Stadium III,77,out to Rightfield,7,(L),0
Rio Ruiz,4,3B,BAL,SEA,BAL201909200,Adam Hamari,Ben May,Stu Scheurwater,Phil Cuzzi,H,No Precipitation,Night,Oriole Park at Camden Yards,75,in from Rightfield,5,(L),0
Joc Pederson,1,LF,LAD,MIL,LAN201904140,Tim Timmons,Pat Hoberg,Jeremie Rehak,Gerry Davis,H,No Precipitation,Cloudy,Dodger Stadium,74,out to Centerfield,5,(R),1
Enrique Hernandez,7,CF,LAD,STL,SLN201809130,Marvin Hudson,James Hoye,Eric Cooper,Quinn Wolcott,A,No Precipitation,Night,Busch Stadium III,86,from Right to Left,3,(L),0
Jay Bruce,3,LF,SEA,KCR,KCA201904100,Marvin Hudson,Quinn Wolcott,Gary Cederstrom,Ramon De Jesus,A,No Precipitation,Cloudy,Kauffman Stadium,82,out to Leftfield,13,(L),0
Chris Martin,NA,P,TEX,STL,TEX201905170,Chris Conroy,Jeremie Rehak,Doug Eddings,Bill Miller,H,No Precipitation,Cloudy,Globe Life Park in Arlington,84,in from Rightfield,12,(R),0
Dansby Swanson,8,SS,ATL,ARI,ATL201807150,Dan Bellino,Tom Hallion,Mike Estabrook,Phil Cuzzi,H,No Precipitation,Cloudy,SunTrust Park,83,out to Rightfield,3,(R),0
Branden Kline,NA,P,BAL,LAA,BAL201905110,Nick Mahrley,Todd Tichenor,Tom Hallion,Adam Hamari,H,No Precipitation,Overcast,Oriole Park at Camden Yards,68,in from Centerfield,5,(R),0
Khris Davis,4,DH,OAK,DET,OAK201808030,Gerry Davis,Alfonso Marquez,Brian Knight,Pat Hoberg,H,No Precipitation,Cloudy,Oakland-Alameda County Coliseum,73,out to Rightfield,11,(L),0
Tyler Naquin,8,RF,CLE,MIN,MIN201804180,Gary Cederstrom,Roberto Ortiz,Eric Cooper,Stu Scheurwater,A,No Precipitation,Cloudy,Estadio Hiram Bithorn,80,from Right to Left,9,(R),0
Bud Norris,NA,P,STL,MIN,MIN201805160,Paul Nauert,DJ Reyburn,Scott Barry,Angel Hernandez,A,No Precipitation,Sunny,Target Field,80,out to Leftfield,12,(R),0
Felix Hernandez,NA,P,SEA,CLE,SEA201803290,Alfonso Marquez,Jim Wolf,DJ Reyburn,Sam Holbrook,H,No Precipitation,Cloudy,Safeco Field,55,in from Centerfield,2,(R),0
Eric Thames,1,RF,MIL,ATL,MIL201807060,Marvin Hudson,Quinn Wolcott,Jeff Kellogg,James Hoye,H,No Precipitation,Night,Miller Park,76,from Left to Right,12,(R),0
Gerardo Parra,7,LF,COL,SEA,COL201807140,Laz Diaz,Manny Gonzalez,Jansen Visconti,Jeff Nelson,H,No Precipitation,Night,Coors Field,93,out to Leftfield,10,(R),0
Shin-Soo Choo,1,DH,TEX,HOU,TEX201807040,Jeff Kellogg,James Hoye,Marvin Hudson,Quinn Wolcott,H,No Precipitation,Cloudy,Globe Life Park in Arlington,91,in from Leftfield,14,(L),1
Enrique Hernandez,NA,PR-CF-2B,LAD,COL,LAN201909220,DJ Reyburn,Greg Gibson,CB Bucknor,Nic Lentz,H,No Precipitation,Cloudy,Dodger Stadium,89,out to Centerfield,4,(L),0
